ticker,date,action,return_pct,is_correct,label,confidence,final_score,grade,total_score
8358.T,2025-01-29,buy,9.760142994453357,True,correct,0.5454092427989805,0.38178646995928633,A,70.2893135345667
8358.T,2025-03-24,buy,-11.658177562436066,False,incorrect,0.5703342493800555,0.3992339745660388,A,70.2893135345667
8358.T,2025-05-29,buy,2.4260785009269767,True,correct,0.5397725132270936,0.37784075925896554,A,70.2893135345667
8358.T,2025-10-30,buy,8.495463730611107,True,correct,0.5267422717149413,0.36871959020045886,B,69.35131511559726
8358.T,2025-11-14,buy,9.865467565434944,True,correct,0.5168175264312941,0.36177226850190586,B,69.35131511559726
8358.T,2025-12-01,buy,1.7261931638596648,False,neutral,0.5567006218606615,0.38969043530246306,B,69.35131511559726
8358.T,2026-04-08,buy,4.535043518094366,True,correct,0.5660610553207396,0.39624273872451765,B,69.35131511559726
8358.T,2026-04-30,buy,-3.673292999135696,False,incorrect,0.5400738519957451,0.3780516963970215,B,69.35131511559726
8358.T,2026-06-09,buy,11.30952380952381,True,correct,0.5101487748521545,0.3571041423965081,B,69.35131511559726
8359.T,2025-07-10,buy,14.262362054952726,True,correct,0.5073154701588038,0.35512082911116266,B,67.37125715723317
8359.T,2025-08-18,buy,1.8802201017405051,False,neutral,0.5133006533793751,0.35931045736556255,B,67.37125715723317
8359.T,2025-09-08,buy,4.327372254368916,True,correct,0.5200510058244603,0.36403570407712216,B,67.37125715723317
8359.T,2025-10-30,buy,9.59661597968914,True,correct,0.5422160031576546,0.3795512022103582,B,67.37125715723317
8359.T,2025-11-14,buy,7.208934598737243,True,correct,0.5100766709398433,0.3570536696578903,B,67.37125715723317
8359.T,2025-12-01,buy,0.08844132315677024,False,neutral,0.5303680786393408,0.3712576550475385,B,67.37125715723317
8359.T,2025-12-15,buy,11.781779255522643,True,correct,0.5224102069924133,0.36568714489468923,B,67.37125715723317
8359.T,2025-12-29,buy,11.6504833745085,True,correct,0.5327706194867489,0.3729394336407242,B,67.37125715723317
8359.T,2026-02-06,buy,-6.571095411615974,False,incorrect,0.5586008035058356,0.3910205624540849,B,67.37125715723317
8359.T,2026-04-08,buy,10.605349601126232,True,correct,0.5138849159773594,0.35971944118415156,B,67.37125715723317
8359.T,2026-05-19,buy,0.7488986784140969,False,neutral,0.5498618948678424,0.3849033264074897,B,67.37125715723317
8359.T,2026-06-09,buy,6.015191952371176,True,correct,0.5421672099917039,0.3795170469941927,B,67.37125715723317
8360.T,2022-10-17,sell,-6.747892799407854,True,correct,0.5698578957114829,-0.398900526998038,D,28.1788388619562
8362.T,2025-04-07,sell,21.908893391498932,False,incorrect,0.5417701657607806,-0.37923911603254645,D,35.46949042518663
8367.T,2023-12-12,sell,2.294686410336085,False,incorrect,0.5083237588347433,-0.35582663118432034,D,27.83331276481961
8370.T,2022-08-17,buy,-6.027917383285283,False,incorrect,0.5210823686799508,0.36475765807596555,B,66.53266595411688
8370.T,2023-02-20,buy,-9.191866991378408,False,incorrect,0.5178186217595083,0.3624730352316558,B,66.53266595411688
8377.T,2025-04-07,sell,45.65977458883974,False,incorrect,0.5309904566890984,-0.37169331968236885,D,33.92437520285622
8387.T,2023-07-10,buy,2.4886743350860216,True,correct,0.5214330554728164,0.3650031388309714,A,70.4113574190629
8387.T,2023-07-25,buy,3.026902197080553,True,correct,0.5641778933896109,0.3949245253727276,A,70.4113574190629
8387.T,2023-08-30,buy,10.482729439009725,True,correct,0.5857758585140538,0.4100431009598376,A,70.4113574190629
8387.T,2023-11-28,buy,-4.104100844716384,False,incorrect,0.502927577062828,0.3520493039439796,A,70.4113574190629
8387.T,2024-01-05,buy,5.816333682495457,True,correct,0.5010265935162149,0.3507186154613504,A,70.4113574190629
8387.T,2024-04-11,buy,-3.852888027381627,False,incorrect,0.5113833688399457,0.357968358187962,A,70.4113574190629
8387.T,2024-06-04,buy,3.968940833629866,True,correct,0.5073653275895582,0.35515572931269074,A,70.4113574190629
8387.T,2024-07-02,buy,-2.7250113810587786,False,incorrect,0.5620261711851101,0.3934183198295771,A,70.4113574190629
8388.T,2023-07-10,buy,8.738818204171565,True,correct,0.5785573471519583,0.40499014300637076,A,74.05760855033115
8388.T,2023-07-25,buy,7.929506922119951,True,correct,0.6000816768596373,0.4200571738017461,A,74.05760855033115
